abażur lampshade
bandytyzm banditry
bandzior mugger
bandżo banjo
Bangladesz Bangladesh
banicja banishment
banjo banjo
bankiet banquet
bankructwo bankruptcy
bank bank
baon battalion
baraki barracks
barak hut
barak shed
baranek lamb
barbakan barbican
barbituran barbiturate
bardziej more
bardzo very
barka barge
barkentyna barquentine
bark shoulder
barmanka barmaid
barokowy baroque
barok Baroque
barometryczny barometric
barometr barometer
barter barter
barwa hue
barwinek periwinkle
barwnik dye
barwnik pigment
barykada barricade
baryton baritone
baryłka cask
baryłka keg
baseball baseball
baskijski Basque
bastion bastion
batalion battalion
bateria battery
batuta baton
batyskaf bathyscaphe
batyst batiste
bat whip
Bawarczyk Bavarian
Bawaria Bavaria
bawarski Bavarian
bawełna cotton
bawełniany cotton
bawół buffalo
bazalt basalt
bazar bazaar
baza base
bazgranina scrawl
bazgranina scribble
bazylia basil
bazylika basilica
bazyliszek basilisk
bałałajka balalaika
bałtycki Baltic
bałwanek snowman
bałwochwalstwo idolatry
bażant pheasant
beatyfikacja beatification
beczka barrel
beczka cask
beczułka keg
bekas snipe
bekon bacon
Belgia Belgium
belgijski Belgian
Belgrad Belgrade
bemol flat
beneficjent beneficiary
Bengal Bengal
beret beret
Berlin Berlin
Berno Berne
bestialski bestial
bestialsko brutally
bestialsko savagely
bestialstwo beastiality
bestia beast
Betlejem Bethlehem
betonowy concrete
beton concrete
beza meringue
bezbożność impiety
bezbożny impious
bezcelowy pointless
bezcenny invaluable
bezcenny priceless
bezczelny cheeky
bezczelny impudent
bezczynność inaction
bezczynny idle
bezdenny bottomless
bezdomność homelessness
bezdomny homeless
bezdroży trackless
bezdrzewny treeless
bezdyskusyjny indisputable
bezdzietny childless
bezgraniczny boundless
bezgraniczny limitless
bezimienny anonymous
bezimienny nameless
bezinteresowność selflessness
bezinteresowny selfless
bezinteresowny unselfish
bezkarny unpunished
bezkofeinowy decaffeinated
bezkonkurencyjny peerless
bezkresny boundless
bezkrytyczny uncritical
bezkręgowiec invertebrate
bezkręgowy invertebrate
bezkształtny indistinct
bezkształtny shapeless
bezlitosny merciless
bezlitosny pitiless
bezlitosny relentless
bezludny uninhabited
bezmierny boundless
bezmierny immeasurable
bezmyślnie thoughtlessly
bezmyślny reckless
bezmyślny thoughtless
beznadziejny hopeless
bezobjawowy asymptomatic
bezosobowy impersonal
bezołowiowy unleaded
bezpiecznie safely
bezpieczny safe
bezpieczny secure
bezpodstawny groundless
bezpowrotny irretrievable
bezpośredni direct
bezpośrednio directly
bezprawie anarchy
bezprawie lawlessness
bezprawnie illegally
bezprawnie wrongfully
bezprawny illegal
bezprawny lawless
bezprecedensowy unprecedented
bezprzewodowy wireless
bezprzykładny unparalleled
bezprzykładny unprecedented
bezpłodny infertile
bezradnie helplessly
bezradność helplessness
bezrobocie unemployment
bezrobotny unemployed
bezrolny landless
bezsennie sleeplessly
bezsenność insomnia
bezsenność sleeplessness
bezsenny sleepless
bezsensowny nonsensical
bezsensowny pointless
bezsens nonsense
bezsilny powerless
bezskutecznie unsuccessfully
bezskuteczny futile
bezskuteczny ineffective
bezsporny doubtless
bezsporny indisputable
bezstronny impartial
bezszelestnie noiselessly
bezszelestnie silently
beztestamentowy intestate
beztreściowy empty
beztroski carefree
beztrosko blithely
bezustanny incessant
bezwartościowy valueless
bezwartościowy worthless
bezwarunkowo unconditionally
bezwarunkowy unconditional
bezwodny waterless
bezwstydny lewd
bezwstydny shameless
bezwstyd effrontery
bezwstyd impudence
bezwykopowy trenchless
bezwzględny ruthless
bezwładność inertia
bezwładność paralysis
bezzasadny groundless
bezzasadny unwarranted
bezzębny toothless
bezładny chaotic
bezładny disorderly
bezład anarchy
bezład chaos
bezład disorder
bezżenny celibate
bełkot gibberish
beżowy beige
Bhutan Bhutan
biatlon biathlon
białaczka leukaemia
białko protein
białoruski Belorussian
Białoruś Belarus
biały white
Biblia Bible
biblijny biblical
biblioteczka bookcase
biblioteka library
bicz whip
bidet bidet
bieda poverty
biednie poorly
biedny poor
biegle fluently
biegły fluent
biegły proficient
bielizna lingerie
bielizna underwear
biel whiteness
biel white
biernik accusative
bierność inactivity
bierny passive
bierzmowanie confirmation
biesiada banquet
biesiada feast
bies devil
bieżnia track
bigamia bigamy
bigamiczny bigamous
bigos bigos
bigoteria bigotry
bijatyka brawl
bilard billiards
bileterka usherette
bilet ticket
billboard billboard
bilokacja bilocation
binarny binary
biochemia biochemistry
biochemiczny biochemical
biodro hip
biogeografia biogeography
biografia biography
biograficzny biographical
biograf biographer
biologia biology
biologiczny biological
bioluminescencja bioluminescence
bioluminescencyjny bioluminescent
biometeorologia biometeorology
biometryczny biometric
biometryczny biometrical
biopsja biopsy
bioróżnorodność biodiversity
biosfera biosphere
biotechnologia biotechnology
biotyt biotite
birema bireme
Birma Burma
biskupstwo bishopric
biskwit biscuit
bis encore
bitwa battle
biuletyn bulletin
biurko desk
biurokracja bureaucracy
biurokratyczny bureaucratic
biuro office
biwak bivouac
biwak camp
biznesmen businessman
biznes business
bladność pallor
blady pale
blaga hoax
blaga humbug
blanka battlement
blask radiance
bliski close
bliski near
bliskoznaczny synonymous
bliskość proximity
blizna cicatrice
blizna scar
bloczek notebook
blokada blockade
blok block
blond blond
bluzka blouse
bluźnierstwo blasphemy
boazeria dado
boazeria panelling
boazeria wainscot
bo because
bobslej bobsleigh
bogactwo wealth
bogaty rich
bogaty wealthy
bogobojny pious
bohaterka heroine
bohaterski heroic
bohatersko heroically
boisko ground
boja buoy
bojaźliwie timidly
bojaźliwy cowardly
bojaźliwy coy
bojaźliwy shy
bojaźliwy timid
bojkot boycott
bojler boiler
boksyt bauxite
boks boxing
bolesny painful
Boliwia Bolivia
boliwijski Bolivian
bombardowanie bombardment
bombastyczność bombast
bombastyczny bombastic
bonifikata discount
bon coupon
Borneo Borneo
borowina bilberry
borsuk badger
boski divine
boso barefoot
bosy barefooted
botanika botany
botoks botox
Botswana Botswana
botulizm botulism
bośniacki Bosnian
bractwo brotherhood
brak lack
brak shortage
brama gate
bramofon intercom
Brandenburgia Brandenburg
bransoleta bracelet
bransoletka bracelet
bratek pansy
braterski fraternal
braterstwo fraternity
Brazylijczyk Brazilian
brazylijski Brazilian
brednie nonsense
breja mush
Brema Bremen
Bretania Brittany
brew eyebrow
brezent tarpaulin
brioszka brioche
brodawka wart
brokatowy brocade
brokat brocade
brokuł broccoli
brona harrow
broszka brooch
broszura brochure
broszura prospectus
browar brewery
browar brewhouse
brudny dirty
brudny filthy
Bruksela Brussels
Brunei Brunei
brunetka brunette
brutalny violent
brutto gross
bruzda furrow
brygada brigade
brygantyna brigantine
bryg brig
brylant diamond
Brytyjczyk Briton
brytyjski British
bryza breeze
brzask daybreak
brzeg rim
brzoskwinia peach
brzuchomówstwo ventriloquism
brzuch belly
brzuszny abdominal
brzydki ugly
brązowy brown
Budapeszt Budapest
buddyjski Buddhist
buddyzm Buddhism
budowa structure
budowla building
budynek building
budynki buildings
budżet budget
bugenwilla bougainvillea
bujny abundant
Bukareszt Bucharest
buk beech
bulimia bulimia
bulimiczny bulimic
bulwersujący appalling
buntowniczy defiant
buntowniczy mutinous
buntowniczy rebellious
buntownik insurgent
buntownik mutineer
buntownik rebel
burak beet
burleska burlesque
bursztynowy amber
bursztyn amber
burza storm
butelka bottle
butnie arrogantly
buty shoes
but shoe
Bułgaria Bulgaria
bułgarski Bulgarian
byczek bullock
byk bull
bystry shrewd
Bytom Bytom
były former
bóbr beaver
Bóg God
bójka fight
ból pain
bóstwo deity
bąbelek bubble
bąbel blister
bąk bittern
bąk gadfly
bęben drum
bękart bastard
błagalny imploring
błogi blissful
błogo blissfully
błogosławiony blessed
błona membrane
błonica diphtheria
błoto mud
błyskawica lightning
błyskawiczny instant
błyskotka trinket
błyszczący shiny
błąd bug
błąd error
błąd mistake
błędny wrong
błękitny blue
błękit blue
