tabaka snuff
uprawnienie entitlement
uproszczenie simplification
uprowadzenie abduction
uprowadzenie hijacking
uprzedni former
uprzedzenie prejudice
uprzedzony prejudicial
uprzejmie courteously
uprzejmość courtesy
uprzejmość kindness
uprzejmość politeness
uprzejmy considerate
uprzejmy courteous
uprzejmy gracious
uprzejmy kind
upór stubbornness
upłynięcie expiry
upłynnianie liquefaction
uradowany delighted
uradowany jubilant
uradowany overjoyed
uradowany rapturous
Uran Uranus
uraza grudge
uraza resentment
urazowy traumatic
uraz trauma
urażony resentful
urlop holiday
urlop vacation
uroczy lovely
uroczystość celebration
urojenie delusion
urologia urology
urologiczny urologic
urologiczny urological
Urugwaj Uruguay
urwis rascal
urwis scamp
urwis urchin
urządzenie apparatus
urządzenie appliance
urządzenie device
urządzenie machine
USA USA
usmolony sooty
ustawa law
ustawodawczy legislative
ustawodawstwo legislation
ustnieally
ustnyal
usunięcie disposal
uszczęśliwiony delighted
uszczęśliwiony jubilant
uszkodzenie damage
usługa service
utalentowany talented
utlenianie oxidation
utrata loss
utrwalacz fixative
utwór composition
uwaga attention
uważny attentive
uwielbienie adoration
uwielbienie adulation
uwielbienie worship
uwięzienie imprisonment
uwięzienie incarceration
uwodzicielski seductive
uwydatnienie emphasis
uzależniający addictive
uzależniony addicted
uzasadnienie justification
uzasadnienie substantiation
uzda bridle
uzurpator usurper
uzębienie dentition
ułamek fraction
uścisk embrace
uścisk hug
uświęcenie sanctification
uświęcony holy
użytkowanie use
użytkownik user
