rabinat rabbinate
skomplikowany complicated
skop wether
skorpion scorpion
skorupiak crustacean
skowronek lark
skowyt yelp
skrajny extreme
skromność humility
skromność modesty
skromny humble
skromny modest
skrucha contrition
skrucha penitence
skrucha repentance
skrupulatny scrupulous
skruszony apologetic
skruszony contrite
skruszony penitent
skruszony repentant
skrytobójstwo assassination
skrzat pixie
skrzydło wing
skrzynka box
skrzyżowanie junction
skręt bend
skunks skunk
skutecznie effectively
skutecznie successfully
skuteczność effectiveness
skuteczność efficacy
skuteczny efficient
skuteczny successful
skóra leather
skóra skin
skąpiec miser
skąpy miserly
skąpy scanty
składowanie storage
skład stockpile
skład warehouse
skłonny willing
slang slang
slup sloop
smaczny palatable
smaczny tasty
smakołyk delicacy
smak taste
smalec lard
smarowanie lubrication
smar lubricant
smród stench
smutek grief
smutek sadness
smutek sorrow
smutno dolefully
smutno sadly
smutno sorrowfully
smutny sad
smutny sorrowful
smutny upset
smycz leash
snooker snooker
snowboarding snowboarding
sobota Saturday
sobowtór lookalike
soból sable
socjalizm socialism
socjologia sociology
soczewica lentil
soczysty juicy
soczysty succulent
sofa sofa
Sofia Sofia
sofistyka sophistry
sojusznik ally
sojusz alliance
sok juice
solidarność solidarity
solidny reliable
solidny solid
solilokwium soliloquy
solo solo
Somalia Somalia
somalijski Somali
somalijski Somalian
somnambulik somnambulist
sonata sonata
sonet sonnet
sopel icicle
sopranowy soprano
Sosnowiec Sosnowiec
sosnowy pine
sos sauce
soulowy soul
soul soul
sowa owl
spacer stroll
spacer walk
spadek decrease
spadkobierca heir
spadochroniarstwo parachuting
spadochroniarstwo skydiving
spadochroniarz parachutist
spadochron parachute
spaghetti spaghetti
spawacz welder
specjalista specialist
specjalizacja specialization
specjalnie specifically
specjalny special
specyfikacja specification
spektakularny spectacular
spektroskopia spectroscopy
speleologia speleology
spełnienie consummation
spichlerz granary
spinacz paperclip
spirytyzm spiritualism
spiżarnia larder
spiżarnia pantry
spodek saucer
spodziewany prospective
spojówka conjunctiva
spokojny calm
spokój peace
spokój serenity
spokój tranquillity
sponsorowanie sponsorship
spontaniczny spontaneous
sporadyczny occasional
sporny arguable
sporny controversial
sportsmenka sportswoman
sport sport
sposobności opportunities
sposobność occasion
sposób method
spotkanie encounter
spotkanie meeting
spragniony thirsty
sprawa matter
sprawca culprit
sprawca perpetrator
sprawiedliwość justice
sprawność agility
sprawność dexterity
sprawność efficiency
sprawność proficiency
sprawny airworthy
sprawny efficient
sprawny functional
sprawny roadworthy
sprawny serviceable
sprawozdanie commentary
sprytnie cleverly
sprytny clever
sprytny shrewd
sprzeciw objection
sprzeciw opposition
sprzeczka altercation
sprzeczka quarrel
sprzeczność contradiction
sprzeczny ambivalent
sprzeczny contradictory
sprzedawczyni saleswoman
sprzedaż sale
sprzymierzeniec ally
sprzymierzenie alliance
sprzączka buckle
sprzątaczka cleaner
sprzęgło clutch
sprzęt equipment
sprężyna spring
spustoszenie havoc
spuścizna legacy
spódnica skirt
spójnik conjunction
spójny consistent
spór contention
spór litigation
spór quarrel
spółgłoska consonant
spóźnienie delay
spóźniony delayed
spóźniony overdue
spławik float
squash squash
sroka magpie
ssak mammal
stabilność stability
stabilny stable
stadium phase
stalagmit stalagmite
stalaktyt stalactite
stamtąd thence
standardowy standard
staniczek bodice
stan condition
stan status
staranie effort
starcie confrontation
starczy senile
starodawny ancient
starożytność antiquity
starożytny ancient
starszy senior
start launch
stary old
statek ship
stawonóg arthropod
stawy joints
staw joint
staw pond
steganografia steganography
stek steak
stenografia shorthand
stenografia stenography
step steppe
sterburta starboard
stereoskopowy stereoscopic
stereoskop stereoscope
stereotyp stereotype
sterowiec airship
ster rudder
stetoskop stethoscope
stiuk stucco
stocznia shipyard
stodoła barn
stoicki stoical
stoicko stoically
stoicyzm stoicism
stoik stoic
stojak stand
stokrotka daisy
stolica metropolis
stomatologia dentistry
stomatologia stomatology
stonoga centipede
stopa foot
stoper stopwatch
stopniowo gradually
stopniowy gradual
stop alloy
stosownie appropriately
stosowny appropriate
stosowny proper
stosowny suitable
stosunek proportion
stosunkowo comparatively
stowarzyszenie association
stołek stool
stołownik boarder
stożek cone
strach fear
strach fright
stragan booth
Stralsund Stralsund
straszliwy terrible
straszny awful
straszny spooky
straszny terrible
stras rhinestone
strata loss
strategia strategy
stratosfera stratosphere
stratyfikacja stratification
strażnica watchtower
strefa area
strefa zone
streszczenie summary
stromy steep
strona side
stronniczość partiality
stronniczy biased
stroskany anxious
strukturalnie structurally
strukturalny structural
struktura framework
struktura structure
strumyk stream
struś ostrich
strych attic
strzała arrow
strzelba shotgun
strzemię stirrup
strzykawka syringe
strzyżyk wren
student student
studium study
stupa stupa
stworzenie creature
stymulacja stimulation
stół table
stąd hence
subtelny subtle
suchy dry
sugestia suggestion
suka bitch
sukces success
sukienka dress
Sumatra Sumatra
sumienie conscience
sumiennie conscientiously
sumienny conscientious
sum catfish
sunnicki Sunni
superfosfat superphosphate
superksiężyc supermoon
supermarket supermarket
supermocarstwo superpower
supernaturalny supernatural
supernowa supernova
superpolimer superpolymer
super super
supeł knot
surinamski Surinamese
Surinam Suriname
surykatka meerkat
surykatka suricate
susza drought
sutek nipple
suterena basement
Suva Suva
suwerenny sovereign
sweter sweater
swoboda freedom
swobodnie freely
swojsko familiarly
swędzenie itching
Syberia Siberia
syberiski Siberian
sybiracki Siberian
sybirski Siberian
Sycylia Sicily
sycylijski Sicilian
syczenie hissing
syczenie hiss
sygnał signal
syjonista Zionist
syjonistyczny Zionist
Syjonizm Zionism
sylwetka silhouette
symboliczny symbolic
symbol symbol
symetria symmetry
symetryczny symmetrical
symfonia symphony
sympatia affection
symplifikacja simplification
symptomatyczny symptomatic
symptom symptom
synagoga synagogue
syndykat syndicate
synkopa syncopation
synonimiczny synonymous
synonim synomym
syntetyczny artificial
syntetyczny synthetic
synteza fusion
synteza synthesis
sypialnia bedroom
Syria Syria
Syriusz Sirius
syryjski Syrian
systematycznie systematically
systematyczny methodical
systematyczny orderly
systematyczny systematic
systemowy systemic
system system
szablonowy banal
szablonowy trite
szablon stencil
szablon template
szachownica chessboard
szacunek appraisal
szacunkowy approximate
szafa wardrobe
szafir sapphire
szafka cupboard
szafranowy saffron
szafran crocus
szafran saffron
szakal jackal
szalenie extremely
szalik scarf
szalony crazy
szal scarf
szal shawl
szampon shampoo
Szanghaj Shanghai
szaniec rampart
szansa opportunity
szantażysta blackmailer
szantaż blackmail
szarada riddle
szarfa sash
szarlatan charlatan
szarmancki gallant
szarłat amaranth
szatan Satan
szata apparel
szata garment
szata robe
szatnia cloakroom
szał frenzy
szał lunacy
szczebel echelon
szczególnie particularly
szczególnie specifically
szczególny particular
szczególny special
szczegół detail
szczelina aperture
szczelina crevice
szczelina fissure
szczenię puppy
szczepienie immunization
szczepienie inoculation
szczepienie vaccination
szczepionka vaccine
szczerość honesty
szczery frank
szczery genuine
szczery honest
szczery sincere
szczerze honestly
szczodrość generosity
szczodrość largesse
szczoteczka brush
szczotka brush
szczupak pike
szczupły slim
szczur rat
szczwany sly
szczyt peak
szczyt summit
szczątek fragment
szczęka jaw
szczęście happiness
szczęśliwy fortunate
szczęśliwy happy
szef boss
szef chief
szejk sheikh
szemranie murmur
szermierka fencing
szeroki broad
szeroki wide
szeroko widely
szerokość breadth
szerokość width
Szerpa Sherpa
szeryf serif
sześcian cube
sześciokątny hexagonal
sześciokąt hexagon
szintoizm Shintoism
szkalowanie vilification
szkarlatyna scarlatina
szkarłatny scarlet
szkarłat scarlet
szkieletowy skeletal
szkielet framework
szkielet skeleton
szklarnia greenhouse
Szkocja Scotland
szkocki Scottish
szkoda damage
szkoda harm
szkodliwy harmful
szkodliwy noxious
szkodzący diantageous
szkodzący harmful
Szkotka Scotswoman
szkoła school
szkuner schooner
szlachcic nobleman
szlachta gentry
szlak route
szmaragd emerald
szminka lipstick
sznurek string
szokujący shocking
szok shock
szopa shed
szorbut scurvy
szpiegostwo espionage
szpital hospital
szpon claw
szpon talon
szprot sprat
szron rime
Sztokholm Stockholm
sztorm storm
sztruksowy corduroy
sztuczka trick
sztuczny artificial
sztuka art
sztukmistrz urer
sztylet stiletto
sztywność rigidity
sztywność stiffness
sztywny rigid
szubienica gallows
szuflada drawer
szum noise
Szwajcar Swiss
Szwecja Sweden
szwedzki Swedish
szyba pane
szybciej faster
szyberdach sunroof
szybki fast
szybko fast
szybko quickly
szybkościomierz speedometer
szybkość rapidity
szybowiec glider
szycie sewing
szyfoniera chiffonier
szyfonowy chiffon
szyfon chiffon
szyfrant coder
szyfrowanie encryption
szyfrowany coded
szyfr cipher
szyfr code
szyfr cypher
szyicki Shia
szyicki Shiite
szyizm Shia
szyja neck
szyld sign
szympans chimpanzee
szynka ham
sól salt
sądowy forensic
sądowy judicial
sęp vulture
słabo feebly
słabość weakness
słaby feeble
słaby weak
sława fame
sławny famous
słodki sweet
słoma straw
słonecznik sunflower
słoneczny sunlit
słoneczny sunny
słony saline
słony salty
Słowacja Slovakia
słowacki Slovak
Słowak Slovak
Słowenia Slovenia
Słoweniec Slovene
Słowianin Slav
słowik nightingale
słownictwo vocabulary
słowniczek glossary
słowniki dictionaries
słownik dictionary
słowny al
słowo word
słuchawka earpiece
słuchowy auditory
służąca housemaid
słynny famous
słynny renowned
słyszalność audibility
słyszalny audible
słód malt
Śląsk Silesia
ściana wall
ścieki sewage
ściek effluent
ściek sullage
ścisły strict
ściółka mulch
ścięgno sinew
ściśle strictly
śledziona spleen
śledź herring
ślepo blindly
ślepota blindness
ślepy blind
śliczny gorgeous
ślimak snail
ślina saliva
śliski slippery
ślub wedding
śląski Silesian
śmiałność boldness
śmiałność daring
śmiały bold
śmiech laugh
śmiech laughter
śmiertelnie fatally
śmiertelnie mortally
śmiertelnik mortal
śmiertelny mortal
śmierć death
śmieszny funny
śmigło airscrew
śniadanie breakfast
śnieg snow
śnieżny snowy
śnieżyca blizzard
śpiący asleep
śpiączka coma
średni average
średnia average
średnica diameter
średnik semicolon
środek middle
środowisko environment
śruba bolt
śruba screw
śrubokręt screwdriver
świadectwo testimony
świadomość consciousness
świadomy aware
świat world
światłowstręt photophobia
światło light
świeca candle
świecidełko tinsel
świecki secular
świecki layman
świeczka candle
świecznik candlestick
świecący glowing
świecący luminous
świecący shiny
świerk spruce
świetlik firefly
świetlik skylight
świetność magnificence
świetny brilliant
świetny fabulous
świetny great
świeży fresh
świt dawn
świt daybreak
świątynia temple
świętowanie celebration
świętość sacredness
świętość sanctity
święty holy
święty sacred
