carewicz tsarevitch
cypryjski Cypriot
cyprys cypress
Cypr Cyprus
cyrk circus
cysta cyst
cysterna cistern
cytadela citadel
cytoplazmatyczny cytoplasmic
cytoplazma cytoplasm
cytryna lemon
cytrynowy lemon
cywilizacja civilization
cywilny civilian
czajnik kettle
czapla egret
czapla heron
czaprak saddlecloth
czara goblet
Czarnogóra Montenegro
czarnoksięstwo sorcery
czarnoksięstwo witchcraft
czarny black
czarodziejka sorceress
czarodziejstwo magic
czarodziej wizard
czarownica sorceress
czarownica witch
czarownik sorcerer
czarownik warlock
czarująco glamorously
czarujący charming
czasami sometimes
czasem occasionally
czasem sometimes
czasomierz chronometer
czasownik verb
czasowo temporarily
czaszka skull
czas tense
czas time
czat chat
czcigodny venerable
czekolada chocolate
czekoladowy chocolate
czereśnia cherry
czerniak melanoma
czerwiec June
czerwonawy reddish
czerwony red
czerw grub
czeski Czech
czkawka hiccough
czopek suppository
czosnek garlic
czosnkowy garlic
czołg tank
czoło forehead
czujnik sensor
czule affectionately
czule fondly
czule tenderly
czwartek Thursday
czworobok quadrilateral
czworokąt quadrangle
czworokąt quadrilateral
czworonożny quadruped
czworonóg quadruped
czworościan tetrahedron
czwórliść quatrefoil
czy if
czynność activity
czynny active
czynny operational
czynsz rental
czyn deed
czy or
czyrak boil
czystość cleanliness
czysty clean
czysty neat
czytanie reading
czytelny legible
czy whether
czyściec purgatory
cząsteczka molecule
cząsteczka particle
często frequently
często often
częstotliwość frequency
częsty frequent
częściowo partially
część part
członek member
członkostwo membership
córka daughter
ćma moth
ćwierćfinałowy quarterfinal
ćwierćfinał quarterfinal
ćwierćnuta crotchet
ćwierć quarter
dach roof
daktyle dates
daktyl date
dalej further
daleki far
Dalmacja Dalmatia
dalszy further
dal distance
Damaszek Damascus
dama lady
damski feminine
Dania Denmark
danina tribute
daremnie futilely
daremność futility
daremny futile
daremny pointless
dar endowment
datek donation
dawniej formerly
dawny former
dbały attentive
debata debate
debata discussion
debiutantka debutante
debiut debut
decentralizacja decentralization
decybel decibel
decydująco critically
decydujący crucial
decydujący decisive
decyzja decision
defekt defect
defensywny defensive
defibrylacja defibrillation
defibrylator defibrillator
deficyt deficit
deficyt shortage
definicja definition
definiowalny definable
deflacja deflation
defoliacja defoliation
defoliant defoliant
deforestacja deforestation
deformacja deformation
deformacja deformity
degradacja degradation
dekada decade
dekagon decagon
dekan decane
deklamacja declamation
dekolonizacja decolonization
dekoracja decoration
dekoracja ornament
dekoracyjny decorative
dekoracyjny ornamental
dekownik shirker
delegat delegate
delfin dolphin
delikatesy delicatessen
delikatnie delicately
delikatny delicate
delikatny gentle
delikatny tender
delikt tort
demistyfikacja demystification
demografia demography
demograficzny demographic
demokracja democracy
demon daemon
demon demon
denerwujący annoying
denerwujący irritating
denerwujący upsetting
dentystyka dentistry
denuncjacja denunciation
depesza telegram
depilator epilator
depopulacja depopulation
deportacja deportation
depresja depression
deputowany deputy
deregulacja deregulation
dermatologia dermatology
dermatologiczny dermatological
desaprobata disapproval
desegregacja desegregation
deser dessert
deska board
deska plank
despotyczny despotic
despotyzm despotism
destrukcyjny destructive
deszczowy rainy
deszczyk drizzle
deszcz rain
detal detail
detergent detergent
detonator detonator
detronizacja dethronement
detronizacja dethronization
dewaluacja devaluation
dewastacja devastation
dewiza motto
dewiza slogan
dewiza watchword
dezaprobata disapproval
dezercja desertion
dezinformacja disinformation
dezodorant deodorant
dezorganizcja disorganization
dezynfekcja disinfection
diabelski devilish
diabelski diabolic
diabelski infernal
diabeł devil
diabeł satan
diagnostyczny diagnostic
diagnoza diagnosis
diagonalny diagonal
diagram diagram
dialekt dialect
dializa dialysis
dialog dialogue
diament diamond
diecezjalny diocesan
diecezja diocese
diera bireme
dieta diet
dietetyczny dietetic
dinar dinar
dinozaur dinosaur
dlaczego why
dlatego hence
dlatego therefore
dmuchawa blower
dno bottom
dobitnie distinctly
dobitnie emphatically
dobitny distinct
dobitny emphatic
dobrobyt prosperity
dobroczynność charity
dobroczynny beneficial
dobroczynny benevolent
dobrowolnie voluntarily
dobrowolny voluntary
dobro good
dobroć goodness
dobroć kindness
dobry good
dobrze well
dobudówka extension
dobytek possessions
dochodowość profitability
dochodowy profitable
dochodzenie inquiry
dochodzenie investigation
dochodzenie research
dochód income
dociekliwie inquisitively
dociekliwy inquisitive
doczesny earthly
doczesny worldly
dodatek accessory
dodatek addition
dodatek additive
dodatkowo additionally
dodawanie addition
dodekafonia dodecaphony
dodekan dodecane
dodo dodo
dogmatyczny dogmatic
dogmatyzm dogmatism
dogmat dogma
dogłębny profound
dojarka milkmaid
dojrzałość adulthood
dojrzały ripe
doktrynalny doctrinal
doktryna doctrine
doktrynerski doctrinaire
dokuczanie teasing
dokuczliwy annoying
dokuczliwy irritating
dokumentacja documentation
dokładnie accurately
dokładnie exactly
dokładnie meticulously
dokładnie precisely
dokładność accuracy
dokładność exactitude
dokładność precision
dokładny accurate
dokładny exact
dokładny precise
dola destiny
dolegliwość ailment
dolina valley
domena domain
dominacja ascendancy
dominacja ascendency
dominujący ascendant
dominujący ascendent
dominujący dominant
dom home
dom house
Donieck Donetsk
doniosłość significance
doniosły important
doniosły significant
donosiciel informer
donośny resonant
dookoła around
dopasowanie adjustment
doprawdy really
dopuszczalny acceptable
dopuszczalny admissible
dopóki until
dopłata surcharge
doradcaiser
doradcaisor
doradca consultant
dorastający adolescent
dorosły adult
dorosły mature
dorosły adult
dorsz cod
dorzecze basin
doskonale perfectly
doskonały consummate
dostateczny sufficient
dostatek prosperity
dostatnio prosperously
dostatni prosperous
dostawa delivery
dostawca supplier
dostojny dignified
dostosowanie adjustment
dostosowanie customization
dostępność availability
dostępny accessible
dostępny available
dostęp access
dosyć quite
dosłownie literally
dosłowny literal
dotacja subsidy
dotkliwość severity
dotknięcie touch
dotyk touch
dowcipny witty
dowcip joke
dowody evidence
dowód evidence
dowód proof
doznanie sensation
dozwolony permitted
doświadczalny experimental
dość quite
dożylny intravenous
drabina ladder
dramatycznie dramatically
dramatyczny dramatic
dramat drama
drapieżnik predator
drastycznie drastically
drastyczny drastic
drażetka dragee
drelichy dungarees
dreszcze shivers
dreszczowiec thriller
drewutnia woodshed
drgnienie wiggle
drobiazgowy meticulous
drobnoustrojowy microbial
drobnoustrój microbe
drobny fine
droga way
drogi expensive
drogocenny costly
drogomierz odometer
drogowskaz signpost
drozd thrush
druhna bridesmaid
drukarka printer
drut wire
drużka bridesmaid
drużyna team
drzazga splinter
drzewo tree
drzewo wood
drób poultry
dróżka path
Dubaj Dubai
duchowność spirituality
duchowny spiritual
duchowny parson
duchowość spirituality
duch ghost
duch spirit
dudy bagpipes
duet duet
duma pride
dumnie proudly
dumny proud
Dunaj Danube
duplikacja duplicate
duplikacja duplication
duplikat duplicate
durny stupid
dusza soul
duszności breathlessness
duży big
dwujęzyczny bilingual
dwukropek colon
dwukrotnie twice
dwulicowość duplicity
dwunastnica duodenum
dwunastokąt dodecagon
dwunastościan dodecahedron
dwupłatowiec biplane
dwusieczna bisector
dwustulecie bicentenary
dwutlenek dioxide
dwuwartościowość ambivalence
dwuznaczność ambiguity
dwuznaczność equivocation
dwójkowy binary
dyfteryt diphtheria
dyfuzja diffusion
dygnięcie curtsey
dykcja diction
dyktatorski dictatorial
dyktatura dictatorship
dylemat dilemma
dyletancki amateurish
dyletantyzm dilettantism
dyletant amateur
dyletant dilettante
dym smoke
dynamit dynamite
dynamometr dynamometer
dynastia dynasty
dynastyczny dynastic
dynia pumpkin
dyplomacja diplomacy
dyplomatyczny diplomatic
dyplom diploma
dyrektywa directive
dyrektywy directives
dyscyplina discipline
dysfazja dysphasia
dysfunkcyjny dysfunctional
dyskoteka discotheque
dyskrecja discretion
dyskusja discussion
dyskwalifikacja disqualification
dysleksja dyslexia
dyslektyczny dyslexic
dysonans dissonance
dyspersja dispersion
dysproporcja disproportion
dystrybucja distribution
dysza nozzle
dywanik rug
dywan carpet
dywersja diversion
dywersja sabotage
dywidenda dividend
dzban flagon
dzianina knitwear
działo cannon
dziecinny immature
dziecięcy childhood
dziecko child
dziedziczenie inheritance
dziedziczka heiress
dziedziczność heredity
dziedziczny hereditary
dziedzic heir
dziedziniec courtyard
dzielenie dividing
dzielenie division
dzielna dividend
dzielnie bravely
dzielnik divisor
dzielność bravery
dzielność courage
dzielność gallantry
dzielny brave
dzielny valiant
dziennikarstwo journalism
dzienny diurnal
dziesięciobój decathlon
dziesięciolecie decade
dziesiętny decimal
dziewczyna girl
dziewczęcy girly
dziewczę girl
dziewictwo virginity
dziewięciokąt nonagon
dzisiaj today
dziura hole
dziwnie strangely
dziwny strange
dziwny weird
dzięcioł woodpecker
dziękczynienie thanksgiving
dziś today
dzwonek bell
dzwonnica belfry
dzwon bell
długi long
długi debts
długopis ballpoint
długowieczność longevity
długość length
dług debt
dłuto chisel
dźwignia lever
dźwięk sound
dżdżownica earthworm
dżem jam
dżihadystyczny jihadist
dżihad jihad
dżungla jungle
